Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   Lpartial(H)   NetName
FCHIP_FCHIP  B18  1.912500e+00  1.687500e+00  1.286736e-01   1.981022e-09  RXDATA0+
FCHIP_FCHIP  C18  1.912500e+00  1.462500e+00  1.356581e-01   2.324037e-09  RXDATA0-
FCHIP_FCHIP  E18  1.912500e+00  1.012500e+00  1.412872e-01   2.669262e-09  RXDATA1+
FCHIP_FCHIP  D18  1.912500e+00  1.237500e+00  1.311281e-01   2.599781e-09  RXDATA1-
FCHIP_FCHIP  G18  1.912500e+00  5.625000e-01  1.147357e-01   2.395771e-09  RXDATA2+
FCHIP_FCHIP  F18  1.912500e+00  7.875000e-01  1.139162e-01   2.528980e-09  RXDATA2-
FCHIP_FCHIP  J18  1.912500e+00  1.125000e-01  1.023879e-01   2.178384e-09  RXDATA3+
FCHIP_FCHIP  H18  1.912500e+00  3.375000e-01  1.026889e-01   2.164896e-09  RXDATA3-
FCHIP_FCHIP  L18  1.912500e+00  -3.375000e-01  1.257967e-01   2.509133e-09  RXDATA4+
FCHIP_FCHIP  K18  1.912500e+00  -1.125000e-01  1.248905e-01   2.476751e-09  RXDATA4-
FCHIP_FCHIP  M18  1.912500e+00  -5.625000e-01  1.724881e-01   2.770435e-09  RXDATA5+
FCHIP_FCHIP  N18  1.912500e+00  -7.875000e-01  1.739301e-01   2.415634e-09  RXDATA5-
FCHIP_FCHIP  P18  1.912500e+00  -1.012500e+00  7.868252e-02   2.313211e-09  RXDATA6+
FCHIP_FCHIP  R18  1.912500e+00  -1.237500e+00  8.030660e-02   2.363724e-09  RXDATA6-
FCHIP_FCHIP  T18  1.912500e+00  -1.462500e+00  9.041389e-02   2.599363e-09  RXDATA7+
FCHIP_FCHIP  U18  1.912500e+00  -1.687500e+00  8.571764e-02   2.462199e-09  RXDATA7-
FCHIP_FCHIP  B1  -1.912500e+00  1.687500e+00  1.226777e-01   2.029051e-09  TXDATA0+
FCHIP_FCHIP  C1  -1.912500e+00  1.462500e+00  1.312116e-01   2.291913e-09  TXDATA0-
FCHIP_FCHIP  D1  -1.912500e+00  1.237500e+00  1.337952e-01   2.376644e-09  TXDATA1+
FCHIP_FCHIP  E1  -1.912500e+00  1.012500e+00  1.404164e-01   2.366769e-09  TXDATA1-
FCHIP_FCHIP  F1  -1.912500e+00  7.875000e-01  1.276583e-01   2.447544e-09  TXDATA2+
FCHIP_FCHIP  G1  -1.912500e+00  5.625000e-01  1.262706e-01   2.416387e-09  TXDATA2-
FCHIP_FCHIP  H1  -1.912500e+00  3.375000e-01  1.090041e-01   2.082177e-09  TXDATA3+
FCHIP_FCHIP  J1  -1.912500e+00  1.125000e-01  1.046767e-01   2.131117e-09  TXDATA3-
FCHIP_FCHIP  K1  -1.912500e+00  -1.125000e-01  1.221128e-01   2.453167e-09  TXDATA4+
FCHIP_FCHIP  L1  -1.912500e+00  -3.375000e-01  1.251160e-01   2.515282e-09  TXDATA4-
FCHIP_FCHIP  M1  -1.912500e+00  -5.625000e-01  1.719992e-01   2.832660e-09  TXDATA5+
FCHIP_FCHIP  N1  -1.912500e+00  -7.875000e-01  1.743887e-01   2.477251e-09  TXDATA5-
FCHIP_FCHIP  P1  -1.912500e+00  -1.012500e+00  8.174801e-02   2.436492e-09  TXDATA6+
FCHIP_FCHIP  R1  -1.912500e+00  -1.237500e+00  7.940572e-02   2.353623e-09  TXDATA6-
FCHIP_FCHIP  U1  -1.912500e+00  -1.687500e+00  8.290714e-02   2.404374e-09  TXDATA7+
FCHIP_FCHIP  T1  -1.912500e+00  -1.462500e+00  8.976554e-02   2.595351e-09  TXDATA7-
