Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   Lpartial(H)   NetName
FCHIP_FCHIP  B18  1.912500e+00  1.687500e+00  3.770891e-02   1.981022e-09  RXDATA0+
FCHIP_FCHIP  C18  1.912500e+00  1.462500e+00  4.001462e-02   2.324037e-09  RXDATA0-
FCHIP_FCHIP  E18  1.912500e+00  1.012500e+00  4.219923e-02   2.669262e-09  RXDATA1+
FCHIP_FCHIP  D18  1.912500e+00  1.237500e+00  4.022461e-02   2.599781e-09  RXDATA1-
FCHIP_FCHIP  G18  1.912500e+00  5.625000e-01  3.590737e-02   2.395771e-09  RXDATA2+
FCHIP_FCHIP  F18  1.912500e+00  7.875000e-01  3.662762e-02   2.528980e-09  RXDATA2-
FCHIP_FCHIP  J18  1.912500e+00  1.125000e-01  3.275829e-02   2.178384e-09  RXDATA3+
FCHIP_FCHIP  H18  1.912500e+00  3.375000e-01  3.326557e-02   2.164896e-09  RXDATA3-
FCHIP_FCHIP  L18  1.912500e+00  -3.375000e-01  4.033628e-02   2.509133e-09  RXDATA4+
FCHIP_FCHIP  K18  1.912500e+00  -1.125000e-01  3.978307e-02   2.476751e-09  RXDATA4-
FCHIP_FCHIP  M18  1.912500e+00  -5.625000e-01  5.098034e-02   2.770435e-09  RXDATA5+
FCHIP_FCHIP  N18  1.912500e+00  -7.875000e-01  5.065322e-02   2.415634e-09  RXDATA5-
FCHIP_FCHIP  P18  1.912500e+00  -1.012500e+00  3.001861e-02   2.313211e-09  RXDATA6+
FCHIP_FCHIP  R18  1.912500e+00  -1.237500e+00  3.103480e-02   2.363724e-09  RXDATA6-
FCHIP_FCHIP  T18  1.912500e+00  -1.462500e+00  3.566011e-02   2.599363e-09  RXDATA7+
FCHIP_FCHIP  U18  1.912500e+00  -1.687500e+00  3.317870e-02   2.462199e-09  RXDATA7-
FCHIP_FCHIP  B1  -1.912500e+00  1.687500e+00  3.746788e-02   2.029051e-09  TXDATA0+
FCHIP_FCHIP  C1  -1.912500e+00  1.462500e+00  3.972360e-02   2.291913e-09  TXDATA0-
FCHIP_FCHIP  D1  -1.912500e+00  1.237500e+00  4.067288e-02   2.376644e-09  TXDATA1+
FCHIP_FCHIP  E1  -1.912500e+00  1.012500e+00  4.203842e-02   2.366769e-09  TXDATA1-
FCHIP_FCHIP  F1  -1.912500e+00  7.875000e-01  3.965275e-02   2.447544e-09  TXDATA2+
FCHIP_FCHIP  G1  -1.912500e+00  5.625000e-01  3.927664e-02   2.416387e-09  TXDATA2-
FCHIP_FCHIP  H1  -1.912500e+00  3.375000e-01  3.325824e-02   2.082177e-09  TXDATA3+
FCHIP_FCHIP  J1  -1.912500e+00  1.125000e-01  3.300170e-02   2.131117e-09  TXDATA3-
FCHIP_FCHIP  K1  -1.912500e+00  -1.125000e-01  3.867945e-02   2.453167e-09  TXDATA4+
FCHIP_FCHIP  L1  -1.912500e+00  -3.375000e-01  3.892028e-02   2.515282e-09  TXDATA4-
FCHIP_FCHIP  M1  -1.912500e+00  -5.625000e-01  5.114009e-02   2.832660e-09  TXDATA5+
FCHIP_FCHIP  N1  -1.912500e+00  -7.875000e-01  5.092169e-02   2.477251e-09  TXDATA5-
FCHIP_FCHIP  P1  -1.912500e+00  -1.012500e+00  3.104464e-02   2.436492e-09  TXDATA6+
FCHIP_FCHIP  R1  -1.912500e+00  -1.237500e+00  3.054399e-02   2.353623e-09  TXDATA6-
FCHIP_FCHIP  U1  -1.912500e+00  -1.687500e+00  3.223324e-02   2.404374e-09  TXDATA7+
FCHIP_FCHIP  T1  -1.912500e+00  -1.462500e+00  3.544219e-02   2.595351e-09  TXDATA7-
