Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   Lloop(H)
IPD031-201_U2A5  U35  4.226560e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  U1  4.226560e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  V27  4.207942e+01  3.135020e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  W27  4.148658e+01  3.135020e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  V22  4.178300e+01  3.314700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  V9  4.207942e+01  3.900780e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  T22  4.259580e+01  3.314700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  T16  4.259580e+01  3.558540e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  P9  4.360342e+01  3.900780e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  P27  4.360342e+01  3.135020e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M5  4.419651e+01  4.068089e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M16  4.422140e+01  3.558540e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M22  4.422140e+01  3.314700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M13  4.422140e+01  3.721100e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M1  4.419651e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  J25  4.559808e+01  3.213100e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  H17  4.576064e+01  3.517900e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  G1  4.612716e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  P16  4.340860e+01  3.558540e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  P13  4.340860e+01  3.721100e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M28  4.419651e+01  3.105556e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  M11  4.422140e+01  3.802380e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  K22  4.503420e+01  3.314700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  K35  4.516196e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  Y22  4.097020e+01  3.314700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AC2  3.985209e+01  4.174261e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AC30  3.996258e+01  2.992780e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AB16  4.015740e+01  3.558540e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AC29  3.996258e+01  3.063900e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AC9  3.996258e+01  3.900780e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AB11  4.015740e+01  3.802380e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AB35  4.033495e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AB3  4.033495e+01  4.137000e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  W1  4.130040e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  Y13  4.097020e+01  3.721100e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  Y11  4.097020e+01  3.802380e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  B29  4.834661e+01  3.035198e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  B35  4.829912e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  B31  4.819498e+01  2.956255e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  C35  4.770603e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  C1  4.770603e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  D5  4.762957e+01  4.059885e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  B33  4.814494e+01  2.881605e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A14  4.871898e+01  3.662705e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A16  4.871898e+01  3.566160e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A12  4.871898e+01  3.759251e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A10  4.871898e+01  3.855796e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A7  4.871898e+01  3.952316e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A32  4.871898e+01  2.925597e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A23  4.871898e+01  3.276549e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A34  4.871898e+01  2.866288e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A18  4.871898e+01  3.469640e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A31  4.871898e+01  2.985668e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  A28  4.871898e+01  3.083484e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  E35  4.710532e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  E32  4.720285e+01  2.933243e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  D31  4.762957e+01  2.975915e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  D29  4.762957e+01  3.035198e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  D33  4.739945e+01  2.876601e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  F30  4.673092e+01  3.013456e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  F6  4.673092e+01  4.021785e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  F32  4.661002e+01  2.933243e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  G12  4.630928e+01  3.756660e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP33  3.542106e+01  2.881605e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AN27  3.593643e+01  3.131744e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AT7  3.484702e+01  3.952316e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM32  3.636315e+01  2.933243e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM4  3.636315e+01  4.102557e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP23  3.559200e+01  3.276549e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP18  3.559200e+01  3.469640e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AN13  3.593643e+01  3.710991e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AP2  3.542106e+01  4.154195e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AN9  3.593643e+01  3.904056e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AL6  3.683508e+01  4.022344e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM1  3.646068e+01  4.211498e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AH11  3.796792e+01  3.822700e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AM7  3.647542e+01  3.974490e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AK29  3.718662e+01  3.061767e+01  0.000000e+00  2.417045e-09 GND
IPD031-201_U2A5  AJ35  3.743884e+01  2.824302e+01  0.000000e+00  2.417045e-09 GND
