Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   Lpartial(H)   NetName
G43225-001_U3A1  36  7.297115e+01  3.464154e+01  3.954383e-02   2.869079e-09  BST_V1P0_S0
G43225-001_U3A1  37  7.297115e+01  3.514166e+01  3.954383e-02   2.869079e-09  BST_V1P0_S0
G43225-001_U3A1  5  7.025234e+01  3.736035e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  31  7.297115e+01  3.214167e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  34  7.297115e+01  3.364154e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  30  7.225233e+01  3.142285e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  26  7.025234e+01  3.142285e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  35  7.297115e+01  3.414166e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  33  7.297115e+01  3.314167e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  32  7.297115e+01  3.264154e+01  2.502841e-02   4.905186e-09  GND
G43225-001_U3A1  41  7.000240e+01  3.439160e+01  2.502841e-02   4.905186e-09  GND
IPD031-201_U2A5  AD14  3.934460e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  AB18  4.015740e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  AB20  4.015740e+01  3.395980e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  AB14  4.015740e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V14  4.178300e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y14  4.097020e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V20  4.178300e+01  3.395980e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y20  4.097020e+01  3.395980e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y18  4.097020e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V18  4.178300e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V16  4.178300e+01  3.558540e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y16  4.097020e+01  3.558540e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  T18  4.259580e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
