Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   L (H)   NetName
IPD031-201_U2A5  AD14  3.934460e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  AB18  4.015740e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  AB20  4.015740e+01  3.395980e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  AB14  4.015740e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V14  4.178300e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y14  4.097020e+01  3.639820e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V20  4.178300e+01  3.395980e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y20  4.097020e+01  3.395980e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y18  4.097020e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V18  4.178300e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  V16  4.178300e+01  3.558540e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  Y16  4.097020e+01  3.558540e+01  9.397840e-02   1.065648e-08  V1P0_S0
IPD031-201_U2A5  T18  4.259580e+01  3.477260e+01  9.397840e-02   1.065648e-08  V1P0_S0
