Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   L (H)   NetName
FCHIP_FCHIP  U7  -5.625000e-01  -1.687500e+00  3.775752e-02   2.256321e-10  VDD_15
FCHIP_FCHIP  V9  -1.125000e-01  -1.912500e+00  3.775752e-02   2.256321e-10  VDD_15
FCHIP_FCHIP  U9  -1.125000e-01  -1.687500e+00  3.775752e-02   2.256321e-10  VDD_15
FCHIP_FCHIP  U8  -3.375000e-01  -1.687500e+00  3.775752e-02   2.256321e-10  VDD_15
FCHIP_FCHIP  B9  -1.125000e-01  1.687500e+00  3.759188e-02   2.256905e-10  VDD_15
FCHIP_FCHIP  A9  -1.125000e-01  1.912500e+00  3.759188e-02   2.256905e-10  VDD_15
FCHIP_FCHIP  B8  -3.375000e-01  1.687500e+00  3.759188e-02   2.256905e-10  VDD_15
FCHIP_FCHIP  B7  -5.625000e-01  1.687500e+00  3.759188e-02   2.256905e-10  VDD_15
FCHIP_FCHIP  U10  1.125000e-01  -1.687500e+00  3.822968e-02   2.270367e-10  VDD_15
FCHIP_FCHIP  V10  1.125000e-01  -1.912500e+00  3.822968e-02   2.270367e-10  VDD_15
FCHIP_FCHIP  U11  3.375000e-01  -1.687500e+00  3.822968e-02   2.270367e-10  VDD_15
FCHIP_FCHIP  U12  5.625000e-01  -1.687500e+00  3.822968e-02   2.270367e-10  VDD_15
FCHIP_FCHIP  B10  1.125000e-01  1.687500e+00  3.806260e-02   2.270933e-10  VDD_15
FCHIP_FCHIP  A10  1.125000e-01  1.912500e+00  3.806260e-02   2.270933e-10  VDD_15
FCHIP_FCHIP  B11  3.375000e-01  1.687500e+00  3.806260e-02   2.270933e-10  VDD_15
FCHIP_FCHIP  B12  5.625000e-01  1.687500e+00  3.806260e-02   2.270933e-10  VDD_15
COMP1_part_COMP1  1  8.100000e-01  4.090000e+00  4.364294e-02   3.015234e-10  VDD_15
