Component   Pin   x(mm)  y(mm)   Rpin (Ohm)   L (H)   NetName
FCHIP_FCHIP  T3  -1.462500e+00  -1.462500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  U2  -1.687500e+00  -1.687500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  R3  -1.462500e+00  -1.237500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  P3  -1.462500e+00  -1.012500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  M4  -1.237500e+00  -5.625000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  L4  -1.237500e+00  -3.375000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  R4  -1.237500e+00  -1.237500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  K4  -1.237500e+00  -1.125000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  T4  -1.237500e+00  -1.462500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  K3  -1.462500e+00  -1.125000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  N3  -1.462500e+00  -7.875000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  P4  -1.237500e+00  -1.012500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  N4  -1.237500e+00  -7.875000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  L3  -1.462500e+00  -3.375000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  M3  -1.462500e+00  -5.625000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  U4  -1.237500e+00  -1.687500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  K5  -1.012500e+00  -1.125000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  R5  -1.012500e+00  -1.237500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  P5  -1.012500e+00  -1.012500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  L5  -1.012500e+00  -3.375000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  T5  -1.012500e+00  -1.462500e+00  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  N5  -1.012500e+00  -7.875000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  M5  -1.012500e+00  -5.625000e-01  7.514789e-03   1.205079e-10  VSS
FCHIP_FCHIP  H5  -1.012500e+00  3.375000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  G5  -1.012500e+00  5.625000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  C5  -1.012500e+00  1.462500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  F5  -1.012500e+00  7.875000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  D5  -1.012500e+00  1.237500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  E5  -1.012500e+00  1.012500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  B2  -1.687500e+00  1.687500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  H3  -1.462500e+00  3.375000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  J3  -1.462500e+00  1.125000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  E3  -1.462500e+00  1.012500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  J4  -1.237500e+00  1.125000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  D3  -1.462500e+00  1.237500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  G3  -1.462500e+00  5.625000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  F3  -1.462500e+00  7.875000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  C3  -1.462500e+00  1.462500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  J5  -1.012500e+00  1.125000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  E4  -1.237500e+00  1.012500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  F4  -1.237500e+00  7.875000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  D4  -1.237500e+00  1.237500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  H4  -1.237500e+00  3.375000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  G4  -1.237500e+00  5.625000e-01  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  C4  -1.237500e+00  1.462500e+00  8.009192e-03   1.219809e-10  VSS
FCHIP_FCHIP  K10  1.125000e-01  -1.125000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  M10  1.125000e-01  -5.625000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  T10  1.125000e-01  -1.462500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  L10  1.125000e-01  -3.375000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  R10  1.125000e-01  -1.237500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  P10  1.125000e-01  -1.012500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  N10  1.125000e-01  -7.875000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  R11  3.375000e-01  -1.237500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  M11  3.375000e-01  -5.625000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  N11  3.375000e-01  -7.875000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  L11  3.375000e-01  -3.375000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  K11  3.375000e-01  -1.125000e-01  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  P11  3.375000e-01  -1.012500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  T11  3.375000e-01  -1.462500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  T12  5.625000e-01  -1.462500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  P12  5.625000e-01  -1.012500e+00  7.234375e-03   1.143923e-10  VSS
FCHIP_FCHIP  N12  5.625000e-01  -7.875000e-01  7.234375e-03   1.143923e-10  VSS
